01.01.2023,Day-ahead Price,Currency,Year,Month,Day,Hour
13:00 - 14:00,138.97,EUR,2023,1,9,14
14:00 - 15:00,151.23,EUR,2023,1,9,15
15:00 - 16:00,162.04,EUR,2023,1,9,16
16:00 - 17:00,174.27,EUR,2023,1,9,17
17:00 - 18:00,182.18,EUR,2023,1,9,18
18:00 - 19:00,170.24,EUR,2023,1,9,19
19:00 - 20:00,160.51,EUR,2023,1,9,20
20:00 - 21:00,138.93,EUR,2023,1,9,21
21:00 - 22:00,132,EUR,2023,1,9,22
22:00 - 23:00,108.31,EUR,2023,1,9,23
23:00 - 00:00,106.01,EUR,2023,1,9,24
00:00 - 01:00,96.72,EUR,2023,1,10,1
01:00 - 02:00,95.15,EUR,2023,1,10,2
02:00 - 03:00,90.33,EUR,2023,1,10,3
03:00 - 04:00,95.61,EUR,2023,1,10,4
04:00 - 05:00,108.6,EUR,2023,1,10,5
05:00 - 06:00,138.13,EUR,2023,1,10,6
06:00 - 07:00,156,EUR,2023,1,10,7
07:00 - 08:00,220,EUR,2023,1,10,8
08:00 - 09:00,222,EUR,2023,1,10,9
09:00 - 10:00,163.52,EUR,2023,1,10,10
10:00 - 11:00,147.6,EUR,2023,1,10,11
11:00 - 12:00,141.25,EUR,2023,1,10,12
12:00 - 13:00,141.68,EUR,2023,1,10,13
13:00 - 14:00,145.41,EUR,2023,1,10,14
14:00 - 15:00,145.92,EUR,2023,1,10,15
15:00 - 16:00,140.11,EUR,2023,1,10,16
16:00 - 17:00,147.9,EUR,2023,1,10,17
17:00 - 18:00,144.74,EUR,2023,1,10,18
18:00 - 19:00,130.1,EUR,2023,1,10,19
19:00 - 20:00,122.81,EUR,2023,1,10,20
20:00 - 21:00,101.9,EUR,2023,1,10,21
21:00 - 22:00,82,EUR,2023,1,10,22
22:00 - 23:00,42.96,EUR,2023,1,10,23
23:00 - 00:00,5,EUR,2023,1,10,24
00:00 - 01:00,0,EUR,2023,1,11,1
01:00 - 02:00,-0.33,EUR,2023,1,11,2
02:00 - 03:00,-0.23,EUR,2023,1,11,3
03:00 - 04:00,0,EUR,2023,1,11,4
04:00 - 05:00,2.59,EUR,2023,1,11,5
05:00 - 06:00,57.31,EUR,2023,1,11,6
06:00 - 07:00,91.11,EUR,2023,1,11,7
07:00 - 08:00,163.58,EUR,2023,1,11,8
08:00 - 09:00,155.6,EUR,2023,1,11,9
09:00 - 10:00,131.78,EUR,2023,1,11,10
10:00 - 11:00,130.6,EUR,2023,1,11,11
11:00 - 12:00,117.82,EUR,2023,1,11,12
12:00 - 13:00,110.54,EUR,2023,1,11,13
13:00 - 14:00,115.74,EUR,2023,1,11,14
14:00 - 15:00,118.83,EUR,2023,1,11,15
15:00 - 16:00,120.81,EUR,2023,1,11,16
16:00 - 17:00,133.79,EUR,2023,1,11,17
17:00 - 18:00,133.87,EUR,2023,1,11,18
18:00 - 19:00,129.9,EUR,2023,1,11,19
19:00 - 20:00,118.53,EUR,2023,1,11,20
20:00 - 21:00,94.87,EUR,2023,1,11,21
21:00 - 22:00,92.03,EUR,2023,1,11,22
22:00 - 23:00,69.23,EUR,2023,1,11,23
23:00 - 00:00,21.74,EUR,2023,1,11,24
00:00 - 01:00,5.92,EUR,2023,1,12,1
01:00 - 02:00,5.66,EUR,2023,1,12,2
02:00 - 03:00,0.1,EUR,2023,1,12,3
03:00 - 04:00,2.73,EUR,2023,1,12,4
04:00 - 05:00,25.55,EUR,2023,1,12,5
05:00 - 06:00,85.72,EUR,2023,1,12,6
06:00 - 07:00,115.35,EUR,2023,1,12,7
07:00 - 08:00,138.6,EUR,2023,1,12,8
08:00 - 09:00,156.6,EUR,2023,1,12,9
09:00 - 10:00,110,EUR,2023,1,12,10
10:00 - 11:00,111.92,EUR,2023,1,12,11
11:00 - 12:00,106.7,EUR,2023,1,12,12
12:00 - 13:00,102.87,EUR,2023,1,12,13
13:00 - 14:00,110.24,EUR,2023,1,12,14
14:00 - 15:00,108.66,EUR,2023,1,12,15
15:00 - 16:00,107.91,EUR,2023,1,12,16
16:00 - 17:00,130,EUR,2023,1,12,17
17:00 - 18:00,144.5,EUR,2023,1,12,18
18:00 - 19:00,130,EUR,2023,1,12,19
19:00 - 20:00,131.14,EUR,2023,1,12,20
20:00 - 21:00,86,EUR,2023,1,12,21
21:00 - 22:00,74.1,EUR,2023,1,12,22
22:00 - 23:00,40.41,EUR,2023,1,12,23
23:00 - 00:00,32.92,EUR,2023,1,12,24
00:00 - 01:00,17.2,EUR,2023,1,13,1
01:00 - 02:00,10.43,EUR,2023,1,13,2
02:00 - 03:00,2.65,EUR,2023,1,13,3
03:00 - 04:00,3.35,EUR,2023,1,13,4
04:00 - 05:00,25.7,EUR,2023,1,13,5
05:00 - 06:00,55.5,EUR,2023,1,13,6
06:00 - 07:00,88.65,EUR,2023,1,13,7
07:00 - 08:00,112.43,EUR,2023,1,13,8
08:00 - 09:00,107.07,EUR,2023,1,13,9
09:00 - 10:00,97.1,EUR,2023,1,13,10
10:00 - 11:00,89.03,EUR,2023,1,13,11
11:00 - 12:00,76.77,EUR,2023,1,13,12
12:00 - 13:00,70.24,EUR,2023,1,13,13
13:00 - 14:00,74.23,EUR,2023,1,13,14
14:00 - 15:00,80.6,EUR,2023,1,13,15
15:00 - 16:00,87.58,EUR,2023,1,13,16
16:00 - 17:00,141.83,EUR,2023,1,13,17
17:00 - 18:00,155,EUR,2023,1,13,18
18:00 - 19:00,144.2,EUR,2023,1,13,19
19:00 - 20:00,121.77,EUR,2023,1,13,20
20:00 - 21:00,125.4,EUR,2023,1,13,21
21:00 - 22:00,120,EUR,2023,1,13,22
22:00 - 23:00,97.29,EUR,2023,1,13,23
23:00 - 00:00,135,EUR,2023,1,13,24
00:00 - 01:00,117.2,EUR,2023,1,14,1
01:00 - 02:00,98.67,EUR,2023,1,14,2
02:00 - 03:00,57.45,EUR,2023,1,14,3
03:00 - 04:00,40.85,EUR,2023,1,14,4
04:00 - 05:00,41.02,EUR,2023,1,14,5
05:00 - 06:00,45.1,EUR,2023,1,14,6
06:00 - 07:00,54.9,EUR,2023,1,14,7
07:00 - 08:00,77.15,EUR,2023,1,14,8
08:00 - 09:00,100.1,EUR,2023,1,14,9
09:00 - 10:00,96.73,EUR,2023,1,14,10
10:00 - 11:00,99.2,EUR,2023,1,14,11
11:00 - 12:00,104.97,EUR,2023,1,14,12
12:00 - 13:00,93.86,EUR,2023,1,14,13
13:00 - 14:00,93.85,EUR,2023,1,14,14
14:00 - 15:00,100,EUR,2023,1,14,15
15:00 - 16:00,100,EUR,2023,1,14,16
16:00 - 17:00,134.26,EUR,2023,1,14,17
17:00 - 18:00,144.2,EUR,2023,1,14,18
18:00 - 19:00,127,EUR,2023,1,14,19
19:00 - 20:00,143.51,EUR,2023,1,14,20
20:00 - 21:00,99.37,EUR,2023,1,14,21
21:00 - 22:00,93.42,EUR,2023,1,14,22
22:00 - 23:00,69.1,EUR,2023,1,14,23
23:00 - 00:00,60.01,EUR,2023,1,14,24
00:00 - 01:00,29.4,EUR,2023,1,15,1
01:00 - 02:00,27.93,EUR,2023,1,15,2
02:00 - 03:00,6.94,EUR,2023,1,15,3
03:00 - 04:00,2.93,EUR,2023,1,15,4
04:00 - 05:00,4.05,EUR,2023,1,15,5
05:00 - 06:00,1.58,EUR,2023,1,15,6
06:00 - 07:00,1.81,EUR,2023,1,15,7
07:00 - 08:00,11.2,EUR,2023,1,15,8
08:00 - 09:00,37.4,EUR,2023,1,15,9
09:00 - 10:00,38.86,EUR,2023,1,15,10
10:00 - 11:00,74.9,EUR,2023,1,15,11
11:00 - 12:00,80,EUR,2023,1,15,12
12:00 - 13:00,65.01,EUR,2023,1,15,13
13:00 - 14:00,80.15,EUR,2023,1,15,14
14:00 - 15:00,86.02,EUR,2023,1,15,15
15:00 - 16:00,95,EUR,2023,1,15,16
16:00 - 17:00,139.64,EUR,2023,1,15,17
17:00 - 18:00,174.6,EUR,2023,1,15,18
18:00 - 19:00,197.7,EUR,2023,1,15,19
19:00 - 20:00,199.9,EUR,2023,1,15,20
20:00 - 21:00,168.34,EUR,2023,1,15,21
21:00 - 22:00,160,EUR,2023,1,15,22
22:00 - 23:00,133,EUR,2023,1,15,23
23:00 - 00:00,60.01,EUR,2023,1,15,24
00:00 - 01:00,60.01,EUR,2023,1,16,1
01:00 - 02:00,62.72,EUR,2023,1,16,2
02:00 - 03:00,56.1,EUR,2023,1,16,3
03:00 - 04:00,63.3,EUR,2023,1,16,4
04:00 - 05:00,87,EUR,2023,1,16,5
05:00 - 06:00,154.63,EUR,2023,1,16,6
06:00 - 07:00,175.11,EUR,2023,1,16,7
07:00 - 08:00,185.99,EUR,2023,1,16,8
08:00 - 09:00,170,EUR,2023,1,16,9
09:00 - 10:00,200.1,EUR,2023,1,16,10
10:00 - 11:00,165.6,EUR,2023,1,16,11
11:00 - 12:00,148.59,EUR,2023,1,16,12
12:00 - 13:00,145.47,EUR,2023,1,16,13
13:00 - 14:00,146.1,EUR,2023,1,16,14
14:00 - 15:00,149.9,EUR,2023,1,16,15
15:00 - 16:00,151.45,EUR,2023,1,16,16
16:00 - 17:00,166.79,EUR,2023,1,16,17
17:00 - 18:00,173.72,EUR,2023,1,16,18
18:00 - 19:00,150.5,EUR,2023,1,16,19
19:00 - 20:00,145.9,EUR,2023,1,16,20
20:00 - 21:00,131.97,EUR,2023,1,16,21
21:00 - 22:00,127.31,EUR,2023,1,16,22
22:00 - 23:00,120,EUR,2023,1,16,23
23:00 - 00:00,101.19,EUR,2023,1,16,24
00:00 - 01:00,95.45,EUR,2023,1,17,1
01:00 - 02:00,97.98,EUR,2023,1,17,2
02:00 - 03:00,100,EUR,2023,1,17,3
03:00 - 04:00,101.09,EUR,2023,1,17,4
04:00 - 05:00,113.55,EUR,2023,1,17,5
05:00 - 06:00,131.05,EUR,2023,1,17,6
06:00 - 07:00,140.8,EUR,2023,1,17,7
07:00 - 08:00,200,EUR,2023,1,17,8
08:00 - 09:00,232.8,EUR,2023,1,17,9
09:00 - 10:00,128.92,EUR,2023,1,17,10
10:00 - 11:00,120,EUR,2023,1,17,11
11:00 - 12:00,115.95,EUR,2023,1,17,12
12:00 - 13:00,112.9,EUR,2023,1,17,13
13:00 - 14:00,115.93,EUR,2023,1,17,14
14:00 - 15:00,147.72,EUR,2023,1,17,15
15:00 - 16:00,171,EUR,2023,1,17,16
16:00 - 17:00,184.73,EUR,2023,1,17,17
17:00 - 18:00,162.19,EUR,2023,1,17,18
18:00 - 19:00,150.1,EUR,2023,1,17,19
19:00 - 20:00,144.43,EUR,2023,1,17,20
20:00 - 21:00,141.41,EUR,2023,1,17,21
21:00 - 22:00,132.8,EUR,2023,1,17,22
22:00 - 23:00,131.4,EUR,2023,1,17,23
23:00 - 00:00,119.8,EUR,2023,1,17,24
00:00 - 01:00,120.1,EUR,2023,1,18,1
01:00 - 02:00,123.9,EUR,2023,1,18,2
02:00 - 03:00,122.87,EUR,2023,1,18,3
03:00 - 04:00,120.48,EUR,2023,1,18,4
04:00 - 05:00,121.91,EUR,2023,1,18,5
05:00 - 06:00,130.39,EUR,2023,1,18,6
06:00 - 07:00,166.4,EUR,2023,1,18,7
